from_airport,from_city,from_country,from_long,from_lat,to_airport,to_city,to_country,to_long,to_lat,airline,airline_country,distance
Balandino,Chelyabinsk,Russia,61.838,55.509,Domododevo,Moscow,Russia,38.51,55.681,Aerocondor,Portugal,1458
Balandino,Chelyabinsk,Russia,61.838,55.509,Tolmachevo,Novosibirsk,Russia,83.084,55.021,Aerocondor,Portugal,1341
Domododevo,Moscow,Russia,38.51,55.681,Khrabrovo,Kaliningrad,Russia,20.987,55.483,Aerocondor,Portugal,1098
Domododevo,Moscow,Russia,38.51,55.681,Beaufort Mcas,Beaufort,United States,-80.539,32.795,Aerocondor,Portugal,8612
Domododevo,Moscow,Russia,38.51,55.681,Bugulma Airport,Bugulma,Russia,53.336,55.066,Aerocondor,Portugal,937
Khrabrovo,Kaliningrad,Russia,20.987,55.483,Domododevo,Moscow,Russia,38.51,55.681,Aerocondor,Portugal,1098
Kazan,Kazan,Russia,49.464,56.01,Domododevo,Moscow,Russia,38.51,55.681,Aerocondor,Portugal,684
Kazan,Kazan,Russia,49.464,56.01,Franz Josef Strauss,Munich,Germany,12.31,48.589,Aerocondor,Portugal,2621
Pulkovo,St. Petersburg,Russia,30.437,60.333,Kazan,Kazan,Russia,49.464,56.01,Aerocondor,Portugal,1209
Pulkovo,St. Petersburg,Russia,30.437,60.333,Bugulma Airport,Bugulma,Russia,53.336,55.066,Aerocondor,Portugal,1471
Beaufort Mcas,Beaufort,United States,-80.539,32.795,Domododevo,Moscow,Russia,38.51,55.681,Aerocondor,Portugal,8612
Beaufort Mcas,Beaufort,United States,-80.539,32.795,Pulkovo,St. Petersburg,Russia,30.437,60.333,Aerocondor,Portugal,7920
Tolmachevo,Novosibirsk,Russia,83.084,55.021,Balandino,Chelyabinsk,Russia,61.838,55.509,Aerocondor,Portugal,1341
Bugulma Airport,Bugulma,Russia,53.336,55.066,Domododevo,Moscow,Russia,38.51,55.681,Aerocondor,Portugal,937
Bugulma Airport,Bugulma,Russia,53.336,55.066,Pulkovo,St. Petersburg,Russia,30.437,60.333,Aerocondor,Portugal,1471
Andahuaylas,Andahuaylas,Peru,-72.918,-13.511,Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Star Peru (2I),Peru,458
Rodriguez Ballon,Arequipa,Peru,-71.306,-15.902,Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Star Peru (2I),Peru,756
Teniente Alejandro Velasco Astete Intl,Cuzco,Peru,-71.898,-13.227,Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Star Peru (2I),Peru,543
Alferez Fap David Figueroa Fernandini Airport,Huánuco,Peru,-75.675,-9.799,Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Star Peru (2I),Peru,197
Coronel Francisco Secada Vignetta Intl,Iquitos,Peru,-72.849,-3.642,Cadete Guillermo Del Castillo Paredes,Tarapoto,Peru,-75.956,-6.182,Star Peru (2I),Peru,445
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Andahuaylas,Andahuaylas,Peru,-72.918,-13.511,Star Peru (2I),Peru,458
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Coronel Fap Alfredo Mendivil Duarte,Ayacucho,Peru,-73.675,-12.592,Star Peru (2I),Peru,338
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Alferez Fap David Figueroa Fernandini Airport,Huánuco,Peru,-75.675,-9.799,Star Peru (2I),Peru,197
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Pedro Canga,Tumbes,Peru,-79.969,-3.255,Star Peru (2I),Peru,979
Cap Fap David Abenzur Rengifo Intl,Pucallpa,Peru,-74.291,-7.964,Coronel Francisco Secada Vignetta Intl,Iquitos,Peru,-72.849,-3.642,Star Peru (2I),Peru,506
Cap Fap David Abenzur Rengifo Intl,Pucallpa,Peru,-74.291,-7.964,Cadete Guillermo Del Castillo Paredes,Tarapoto,Peru,-75.956,-6.182,Star Peru (2I),Peru,270
Pedro Canga,Tumbes,Peru,-79.969,-3.255,Capitan Montes,Talara,Peru,-80.757,-4.295,Star Peru (2I),Peru,144
Cadete Guillermo Del Castillo Paredes,Tarapoto,Peru,-75.956,-6.182,Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Star Peru (2I),Peru,580
